Place_Name,Sub_Place,Negative_Review,Positive_Review,,,Rating1,Tags,TourId,rating
Mangalore,Sultan_Battery, Nothing all great , places were stunningly decorated and really spacious in the top of the building Pictures are of place 300 The true beauty of the building has been kept but modernised brilliantly Also the bath was lovely and big and inviting Great more for couples arena menu was a bit pricey but there were loads of little eatery places nearby within walking distance and the tram stop into the centre was about a 6 minute walk away and only about 3 or 4 stops from the centre of Amsterdam Would recommend this location to anyone it s unbelievably well priced too ,,,10,"[' Leisure trip ', ' Group ']",11,10
Mangalore,Sultan_Battery, 6 30 AM started big noise workers loading wood down the windows Stupid place numbering system it took 20 Minutes with a night guard finally to find our places The check in staff pointed us in the wrong direction No late dinner Bus closes at 1 am Ugly view on trash lorry from windows No information about the computerized telephone Huge price difference between booking Com price 166 euros and location price 260 , Style location places,,,5.8,"[' Family trip ', ' Solo traveler ']",12,6
Mangalore,Sultan_Battery, The floor in my place was filfy dirty Very basic places I had a 20yr old tv in my place Fridge did not work Overpriced nature , Comfy place good location ,,,4.6,"[' Leisure trip ', ' Solo traveler ']",13,5
Mangalore,Sultan_Battery,No Negative, This location is being renovated with great care and with an appreciation for its unique structure and location My spacious and comfortable place had a large double paned glass window onto the lush greenery of the park The nature selection was spectacular All considered this was a great location for the price and I plan to return ,,,9.2,"[' Family trip ', ' Solo traveler ']",14,10
Mangalore,Sultan_Battery, The staff in the arena could of been more pleasant we only visited once but that wouldn t stop us from booking again it might of just been an off night for him , It was very good very historic building that s why I chose it ,,,8.8,"[' Leisure trip ', ' Family with young children ']",15,9
Mangalore,Sultan_Battery,No Negative, This location is awesome I took it sincirely because a bit cheaper but the structure seem in an hold church close to one awesome park Arrive in the city are like 10 minutes by tram and is super easy The location inside is awesome and really cool and the place is incredible nice with two floor and up one super big comfortable place I ll come back for sure there The staff very gentle one Spanish man really really good ,,,10,"[' Leisure trip ', ' Couple ']",16,10
Mangalore,Sultan_Battery, Very steep steps in place up to the place not safe for children I asked to move places and was put in another identical one place decoration was minamilist which I like but felt prison cell sparse, Great onsite cafe Amazing building Park location Amazing Bobby Gin and Tonic ,,,6.3,"[' Leisure trip ', ' Family with young children ']",17,7
Mangalore,Sultan_Battery, We did not like the fact that nature was not included although you could pay extra for this The place we stayed in was lacking in space a bit and the bathplace was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment , We loved the location of this location The fact that it is set in a Park away from the busy centre of dam square was great The tram system was brilliant and easy to handle The location is lovely and the place was comfy Staff were very friendly and helpful and familiarized themselves with us when they realized we travelled from Ireland ,,,7.5,"[' Leisure trip ', ' Couple ']",18,8
Mangalore,Sultan_Battery,No Negative, Public areas are lovely and the place was nice but the window was broken and the drains in the bathplace smelt Its an old building and clearly has old building issues ,,,7.1,"[' Family trip ', ' Group ']",19,8
Mangalore,Kudroli, We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our place was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the location was lovely , I liked the locations history And for such an enormous location I can t imagine how many girls were orphaned I liked their nature It was a quirky mix of fruits pastries meats and fish breads and the regular bacon and eggs Juices tea and coffee ,,,7.5,"[' Leisure trip ', ' Couple ']",20,8
Mangalore,Kudroli, place was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit , Friendly staff OostPark a few yards away Good continental nature selection Quiet and relaxing area ,,,6.3,"[' Leisure trip ', ' Travelers with friends ']",21,7
Mangalore,Kudroli, Our place was an overrated disaster place 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other places We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathplace is the worst design disaster one can imagine We found the whole location dirty dusty and dated To spend more then 243 Euros for a dirty attic place is daylight robbery , The nature was the only positive element of this location original in taste and a good selection of selection of health food dishes on the buffet We did not try the arena but the whole set up with its view and terrace on the park is exceptional We had a wedding in the location s chapel so the convenience of just walking upstairs after the party was our reason of selecting this location ,,,3.8,[' Couple '],22,4
Mangalore,Kudroli, Sadly I cannot say that the places are clean enough for me When we got in our place we immediately notice there s something wet and sticky like juice or something just next to our place We called the front desk and they said they will send a cleaning lady to us We waited at least half an hour and no one showed up We had to go to the front desk and complain again When we got back later in the evening the juice has been removed but there s still some hair on the spot We were however no interest to complain anymore Also on the wall in the place on the curtain and in the bathplace there s a lot of stains which I had to ignore the whole time I didn t feel comfortable at all The staff at front desk are very friendly However I guess they pay really bad to their cleaning ladies First you will not be greeted by the cleaning staffs if you run into one at the hallway What more annoying is that I got woke up at 7 in the morning by the cleaning ladies because they closed the doors so loudly when they were cleaning other places And they didn t close it loudly just once but for at least on hour They kept open and close the door I was really annoyed I was in my holiday and I just wanted to have a good sleep at least The parking place was small but ok When we arrived the ticket machine was broken Someone told us we don t need a ticket to get in for now and we just have to inform the front desk when we check in We did so and paid for 2 days when we checked out When we drove out the ticket machine was broken again So we didn t actually have to plug in the ticket which we have paid with a lot of money Of course we should pay for it because we parked there but still I was not so happy because I have the feeling that I paid for nothing , The location is good You need 15min to 20min walk to the center depends on your speed The location locates in a beautiful park and have a nice interior design The place was really comfortable ,,,5.4,"[' Leisure trip ', ' Family with young children ']",23,6
Mangalore,Kudroli, Transportation was a bit of a pain but on route to your destination there is amazing views at every corner , place was extremely comfy and the staff where well spoken they also gave us all the help with easiest way to city centre and all the relevant transportation tickets and unique locations to visit will definitely be returning as this city is beautiful and the people are so friendly ,,,9.6,"[' Leisure trip ', ' Couple ']",24,10
Mangalore,Kudroli, Nothing , Lovely location with extremely comfortable huge double place We stayed in the split level place which we really liked If you have difficulty getting up stairs request if you can stay in a place all on one level The Oosterpark is beautiful the shops and arenas are great with lots of variety to choose from You can get the Metro close by 8min walk or the Tram is a short walk away and runs from the station and you can get off within a 5 mins walk to the location All in all a beautiful location with friendly staff shampoo and soap in the shower Tea and coffee facilities in your place and in a location that is more relaxing than the central Amsterdam We will be returning ,,,9.6,"[' Leisure trip ', ' Couple ']",25,10
Mangalore,Kudroli, The bathplace in our place was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv , Great location in the park near museums and arenas Perfect launch pad for many walking and day trips Beautiful old building former orphanage and spacious places Big nature spread perfect for starting the day off right Friendly and helpful staff I m,,,8.3,"[' Leisure trip ', ' Couple ']",26,9
Mangalore,Kudroli, Nothing at all to do with the location of course but people tend to Slam their placeplace doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all , The location itself is in a lovely location a 5min if that tram ride into the center Train right outside the location easy access to everywhere The Staff are super friendly and always on hand to help and advice Wonderful bright comfortable and clean places places are amazing felt as if we were sleeping on clouds Bathplace was clean spacious and airy We had Shampoo Body wash there alongside hair dryer towels safe wardrobe hangers clothes holders desk chair place service hair dryer fridge kettle and cups teas and coffees It literally has everything you need in the place Perfect location couldn t fault it at all The lovely smell from the arena downstairs is great Tennis court outside the location little pond as well and a huge park to walk around ,,,9.6,"[' Leisure trip ', ' Group ']",27,10
Mangalore,Kudroli, Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you , Great location original concept style,,,8.3,"[' Family trip ', ' Solo traveler ']",28,9
Mangalore,Kudroli, We had 2 different places here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathplace , The location itself is beautiful arena is very good and the adjacent park is gorgeous with beautiful birds and rabbits ,,,8.3,"[' Leisure trip ', ' Couple ']",29,9
Mangalore,Kudroli, There is an ongoing construction enlarging the location The location s arena is nice but overpriced The bathplace is not very practical , The location is located in a beautiful old monastery building which has a special mood combined with all modern features There is a big park just opposite to the location Public transportation and a nice bakery for nature are also close Good wifi all around the location ,,,9.2,"[' Leisure trip ', ' Couple ']",30,10
Mangalore,Kudroli, Little bit on the pricey side, The staff were so friendly and helpful plus the Bus arena area is beautiful Located in its own park and the old building is simply stunning ,,,9.2,"[' Leisure trip ', ' Couple ']",31,10
Mangalore,Kudroli, Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the place well there was one but it was very ineffective , Friendly staff The Bus arena area is lovely and overlooks the park Very modern ,,,7.1,"[' Leisure trip ', ' Group ']",32,8
Mangalore,Kudroli, Our bathplace had an urine order Shower was very slippery No shower chair handles or Buss place was uncomfortable and mattress pad was too big and you felt like you were falling off Very expensive and nature was not included Construction and remodeling were going on and we were inconvenienced by it There was a park and that was nice Not close to town or museums ,No Positive,,,4.2,"[' Leisure trip ', ' Group ']",33,5
Mangalore,Kudroli, Please see above, The location is going through renovations and unfortunately it means that the places can be less than perfect However the staff did recognise those shortcomings and did everything they could to make the stay as agreeable as possible ,,,6.7,"[' Leisure trip ', ' Family with young children ']",34,7
Mangalore,Kudroli, The places were cold Although nice the place decor was basic and unwelcoming It could use some design help an area rug or two , The place was very big spacious The bath tub was large enough for two people I love the axcess to the from multiple trams and trains The park location was amazing,,,7.9,"[' Leisure trip ', ' Family with young children ']",35,8
Mangalore,Kudroli, Construction on site but not mentioned on booking com The nature can be improved it is quite expensive for its quality , Very nice location manager he upgraded us because we had troubles with two different places They do everything to make you feel welcome and comfortable The park directly in front of the location is amazing rent a bike directly and make a tour Also the bathtub and place is great ,,,8.3,"[' Leisure trip ', ' Couple ']",36,9
Mangalore,Kudroli, not cleaned well lady pushing to pay during my nature poor signs for temporary reception during renovation, the building meeting places modern style of my place park,,,7.1,"[' Family trip ', ' Group ']",37,8
Mangalore,Kudroli, The glass wall separating the bathplace and the toilet from the place is a weird solution for double It is necessary to darken the glasses much more , Very nice location located in a park Ca 30 minutes by walk to the city center Not typical for Amsterdam since most city locations are located in small buildings But pay attention to the fact that most of the places are two storeyed so you will have to use stairs to get to place ,,,8.8,"[' Leisure trip ', ' Couple ']",38,9
Mangalore,Kudroli, the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the location I suppose if there is one thing the place I had did not have a view only other places but I dont tend to go on holiday to sit in my location place staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that, The location was amazing the place was fantastic east access to public transport set on the lovely Oosterpark lots of places to eat and drink near by or nice walk to the main areas of Amsterdam I would definitely like to stay here again I only had nature at the arena on site and this was only once and fairly standard as A brit and a connoisseur of cooked natures I was a little disappointed in the hot food but generally lots on offer for everyone just no where does a cooked nature like the English but very helpful staff and a nice place to sit with a coffee and start the day and this is the least of any worries due to their being so many good places to eat around and I personally prefer to wander and explore for my dining experiences But not qualified to give a true opinion of the arena it was certainly busy in the evenings which suggests its pretty good I will definitely be staying there again if possible the next time i take a trip to Amsterdam,,,8.8,"[' Leisure trip ', ' Couple ']",39,9
Mangalore,Kudroli, Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad nature was overpriced for a good but ordinary buffet , Location on the park with easy access to tram lines was very good ,,,6.3,"[' Leisure trip ', ' Couple ']",40,7
Mangalore,Kudroli, Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard places are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the place being somewhat stuffy , The location is nicely localted directly within the park which is accessed when walking out of the building The building itself has great history and wonderful architecture The staff is very helpful and friendly when in need of anything ,,,7.5,"[' Leisure trip ', ' Couple ']",41,8
Mangalore,Kudroli, location undergoing the building of a new wing not that this caused us any issues except signs of building work meant reception was a temporary pop up affair places that we had were tired and in need of some love First place had a broken window mechanism and signs of damp with chunks of plaster missing around the window area Shower did not drain properly and overflowed after only a couple of minutes We requested another place which we duly transferred too which was better although bathplace lights would work for no longer than 5 minutes before they went out guess a problem with a transformer overloading Fault reported but not rectified during our stay The building is magnificent the places we had just needed some care and attention and then the location would be first rate , Nice arena although felt nature was rather expensive at 17 50 per head Location as expected but with hind sight a little further from the main tourist areas than we might have liked but was quite nice to be out of the noisy city centre Staff very courteous ,,,6.7,"[' Leisure trip ', ' Family with young children ']",42,7
Mangalore,Kadri, location is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work nature staff was more interested in me signing the nature check although I prepaid the nature then serving my cappuccino place was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathplace very hot but not in the place Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the place no working area feels more like a sanatorium And for all that I paid 250 Never again , Love the design of the renovated product The park nearby for a walk ,,,2.9,"[' Family trip ', ' Solo traveler ']",43,3
Mangalore,Kadri, Water pressure in my shower was no existent Feel bad even saying that , Staff were amazing very very friendly and proud of the place they work in The cafe is very cool Will be back,,,9.6,"[' Family trip ', ' Group ']",44,10
Mangalore,Kadri, The service was awful They refused to take ownership of a mistake on their part even after being asked about it in the morning , The brunch to purchase in the morning was good ,,,3.3,"[' Leisure trip ', ' Group ']",45,4
Mangalore,Kadri, Bathplace lighting could have been brighter The airconditioning of our place 303 could not be turned down lower than 23 degrees celcius The refrigerator in our place was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either , The location of the location is super opening out to Oosterpark The staff was very helpful and friendly The place was very comfortable The place was spacious enough for 2 people ,,,7.9,"[' Leisure trip ', ' Family with young children ']",46,8
Mangalore,Kadri, The location is under construction which was never mentioned when I booked it or at any point until we arrived there We then wandered around empty half finished corridors looking for the temporary lobby The place was nice but the bathplace is a glass box inside the placeplace it s not in anyway private Showering or using the toilet feels aptly like you are performing in some kinky Amsterdam window there was also a nail sticking up at the entrance of the glass bathplace which I first discovered with my Busefoot We woke up to the sound of scaffolding being hammered together and someone drilling concrete Hardly the relaxing break from noisey London that I believed I had booked The pictures are of a location looking over a park yet the place looked over an empty courtyard scattered with random bits of scaffolding and debris The first floor corridor smelled like they were having some serious blocked plumbing issue or perhaps another guest was very unwell Their 17 nature is really lazily thrown together with cheap products and entirely tasteless honestly not worth it get nature somewhere else instead We spent 100 in 3 days on uber because this location is over a mile from anything and the novelty of walking around pretty canals ends 20 minutes before this location even comes into view They will also take 50 deposit from you in advance for every day you are planning to stay This meant on arrival I suddenly had to pay a further 150 which caused a non sterling transaction charge on my card only to have the full amount refunded when we left minus the bank charges for this pointless but menditory transaction We made the best of it but I really wish they had been open about the current state of the place and I definitely would have stayed somewhere else , Massive place,,,4.2,"[' Leisure trip ', ' Couple ']",47,5
Mangalore,Kadri, The location is a little out of the main town but accessible by tram The location arena was a little disappointing the food was great but we waited too long for it due to waiting staff prioritising large groups , The location looks really impressive Set in a beautiful location The place was clean well decorated and the place was one of the most comfortable I d ever slept in ,,,8.3,"[' Leisure trip ', ' Couple ']",48,9
Mangalore,Kadri,No Negative, The quality of the location was brilliant and even though it was under renovation there was no disruption or noise The location of the location is far enough away from the centre of the city that it did not feel like a tourist trap and it is also situated in a fantastic park near some great Buss and arenas I cannot fault the staff facilities or the price and would highly recommend this to anyone ,,,10,"[' Leisure trip ', ' Couple ']",49,10
Mangalore,Kadri, Service horrible Pillows super stiff and big could break your neck place service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here, clean and new,,,5.4,"[' Family trip ', ' Couple ']",50,6
Mangalore,Kadri, The Bus was shut when I got back at midnight which seemed quite early for a location Bus on a Saturday night in a city like Amsterdam , My place was upgraded because they are doing renovations in part of the building The place I was given was enormous and very comfortable I wish I had been staying for a week not just one night ,,,9.6,"[' Leisure trip ', ' Solo traveler ']",51,10
Mangalore,Kadri, When arriving I was told I had to pay 19 city tax That wasn t shown on the policies I pre paid extra for there to be petals on the place there were no petals The sheets weren t changed the cleaner just made the place didn t even sweep the floor When checking out the receptionist said she would call a taxi for us We waited 30 minutes after 15 we asked how long it would be she said I will check she said that twice Made us late for the airport and nearly missed our flight Wasn t happy at all , The location and views ,,,7.1,"[' Leisure trip ', ' Couple ']",52,8
Mangalore,Kadri, I loved everything , The location in a quiet park with a great terrace The space and the places are exquisite with a lot of taste The gigantic places pillows and placesheets are super comfortable It s dark and silent which is something impossible to find in Amsterdam Staff was very friendly and accommodating The arena with a view over the park is great to work and eat,,,10,"[' Leisure trip ', ' Couple ']",53,10
Mangalore,Kadri,No Negative, Beautiful setting in a lovely park place very spacious clean and comfortable Bus area looking over the park was stunning located on the peaceful outskirts of the city but very easy to travel around on the tram system old building with a modern refurbishment it suited us perfectly,,,10,"[' Leisure trip ', ' Couple ']",54,10
Mangalore,Kadri, when you take a shower the whole floor is in the water problem with opening the garage door curtained window some construction, good and comfortable mattress near tram station helpful people from recepction,,,7.9,"[' Leisure trip ', ' Solo traveler ']",55,8
Mangalore,Kadri,No Negative, The location is lovely and the staff were amazing They even sorted out booking a meal and taxi for me when I emailed them about this when I first booked online This was such a good idea as we found out after that it was one of the best in town It is set in a park and just looks amazing from the outside and inside is top draw too I would highly recommend ,,,10,"[' Leisure trip ', ' Couple ']",56,10
Mangalore,Kadri, there was construction work going on in the location which i was not expecting and would like to have known about in advance the Bus staff we not keen to serve use when we arrived late from the airport at 11 30pm despite at check in being told the Bus was open until 12 mid night , location in the park Cool interior design comfy place ,,,7.1,"[' Family trip ', ' Solo traveler ']",57,8
Mangalore,Kadri, Some building work was being carried out during our stay which was noisy but obviously unavoidable stairs in our place were very narrow and steep which meant getting up in the middle of the night to go to the toilet was a real task , Location was good but needed tram subway to get to centre of Amsterdam place was nice but stairs were hard to get up and down to get to place at night place was clean location was nice and modern located in next a lovely park staff were friendly ,,,7.9,"[' Leisure trip ', ' Couple ']",58,8
Mangalore,Kadri, The location is under renovation so even though it was in a park our view was of scaffolding Also the place would benefit from more pillows blankets Personal preference , The location was perfect and so beautiful Only a tram ride from the centre anywhere really ,,,7.9,"[' Leisure trip ', ' Couple ']",59,8
Mangalore,Kadri,No Negative, Basically everything The style of the location is really great The nature is really good good quality food really really nice coffe order from the Bus The wifi was good in my place and also throuout the location The location is near a metro station its easy to get to the center I loved this location honestly and i will stay here again for sure The staff cares that you have a good stay i really liked that Thumbs up from me ,,,9.6,"[' Leisure trip ', ' Solo traveler ']",60,10
Mangalore,Kadri, The place is completely mismanaged The property is amazing and whoever is running the place is doing it a disservice Don t stay here if you are expecting a 4 star experience it s a 4 star location with 1 star service The arena service is the worst I have ever experienced The staff need guidance on how to serve efficiently The location has many strange design choices too Had a double placeplace with a friend yet you can easily see into the bathplace shower and toilet Shower overflows all over bathplace quickly You can see into the natures from the reception area Loud security doors right outside our place woke us up regularly Put the security measures on the elevators ya goofs This is the only negative review I have ever written but the place has potential and needs new management , The property is beautiful,,,4.6,"[' Leisure trip ', ' Group ']",61,5
Mangalore,Kadri, The bathplace if someone took shower because it will flow over to the elevated floor , Most of the thing we experience is a very good just keep it up,,,7.1,"[' Leisure trip ', ' Couple ']",62,8
Mangalore,Kadri, Soundproofing was poor could hear everything from outside our place and woke one morning thinking someone had come into our place as sound was so clear Service and food in the arena was awful at dinner so we didn t eat there again , I d booked the trip as a surprise for my partners birthday We got a free place upgrade upon arrival and balloons delivery to the place by the front of house staff to wish him a happy birthday Great staff very welcoming friendly and helpful Lovely place very comfy place ,,,8.3,"[' Leisure trip ', ' Couple ']",63,9
Mangalore,Kadri, Very bad attitude of personnel at nature Only allowed one coffee from the Coffee machine filter coffee was free Rude behavior of the manager place was noisy because of dripping water sound heater system in place , Location is good They gave me some freebies for noisy place,,,6.3,"[' Leisure trip ', ' Couple ']",64,7
Mangalore,Kadri, The bath tub wasn t completely clean that would be my only gripe , The location was fantastic in a lovely setting of a park The location itself has been decorated to a very good standard ,,,9.2,"[' Leisure trip ', ' Couple ']",65,10
Mangalore,Kadri, Not being told a hedkandi night was across from our place leaving us with no sleep place could have been allocated to someone attending the night instead of us Just bad organisation on place allocation , Great trip staff very friendly,,,8.8,"[' Leisure trip ', ' Family with young children ']",66,9
Mangalore,Kadri, Asked for more coffee and sugars only got given two satchets of each place cleaned floor not hovered as the rug was very messy Wifi worked for half a morning then never connected again for the whole trip , Nice open place place plenty of place Bath place clean Fridge was a nice touch Easy to get in and out Staff accommodated us fast and politely,,,9.2,"[' Leisure trip ', ' Couple ']",67,10
Mangalore,Kadri, place was not cleaned correctly Wine Champagne glasses left dirty in the place the floors felt dirty and the shower drain was clogged From the day we arrived , To begin with we were upgraded which made my wife very happy the place was spacious and warm with minimal noise nature has improved location was well looked after It has undergone some major renovations since I last stayed there The new wing looks beautiful and the company has invested a lot into the property Super impressed with the Park and the way nature comes together with the location New dining area is magnificent and all food looked fantastic we preferred to eat out for dinner because of sight seeing ,,,7.5,"[' Leisure trip ', ' Couple ']",68,8
Mangalore,Kadri, The bathplace was amazing Though we were two friends sharing and it had a glass screen so it was a bit uncomfortable at times They should think about a screen or opaque glass , Beautiful design comfortable place friendly staff Quick tram to leidseplein and Metro to central ,,,7.9,"[' Leisure trip ', ' Couple ']",69,8
Mangalore,Kadri, Our place didn t have a sofa in but these two uncomfortable chairs and the stairs was too steep for the place Didn t feel safe going up and down the stairs but these are minor issues I would recommend the location to anyone , The bath and shower place was amazing Beautiful location They are going through a refebishment at the moment and I am looking forward to when it is complete to see the final look which I think will look even more stunning then the building is already,,,8.8,"[' Leisure trip ', ' Couple ']",70,9
Mangalore,Kadri, The nature was rather average from quality and appearance and not that well organized The young gentlemen managing this were more interested in watching the young female guests This was nice to see but at the same time spoons butter coffee etc were out I would expect a better experience for that price , The building was fantastic All renovated areas were very stylish The receptionist was very friendly and gave us a warm start in this place ,,,6.7,"[' Leisure trip ', ' Couple ']",71,7
Mangalore,Kadri, nature I missed cutted fresh fruits for Muesli couldn t find the Cheese and for Capuccino you had to pay extra , The young guy at the reception was really friendly and helpful Dinner has been cooked excellent ,,,7.1,"[' Leisure trip ', ' Couple ']",72,8
Mangalore,Kadri, The sink in the bathplace was very dirty when I got the place Unacceptable The place was freezing cold they could turn on the heating before the guests arrive , The location is really good the place was spacious and comfortable the bathplace as well ,,,7.1,"[' Leisure trip ', ' Solo traveler ']",73,8
Mangalore,Kadri, upgraded on arrival very good but unfortunately lovely place had a smell of cigarettes mixed with perfume so changed place next place in attic annexe very cold offered a heater but asked to change again back to regular sized place perfectly adequate as on my own and comfortable but bothered by traffic noise from main road outside , nature on first day bacon ran out new batch was undercooked and not very hot limited choice of cereal and bread next day much improved more cereal yogurt and cooked tomatoes added ,,,6.3,"[' Leisure trip ', ' Solo traveler ']",74,7
Mangalore,Kadri, If you are staying with someone who you aren t comfortable sharing every little detail with we wouldn t recommend this location The glass box in the corner of the place that doubles as the en suite has practically see through glass even though it s black so you can t be concerned about protecting your modesty Nearly all the guests we came across we re British but there was a complete lack of English nature tea in the arena where you had nature What made it stranger was we told them it was available in the tea coffee facilities in the place but only with powdered milk but they still couldn t produce any for nature The location was also undergoing serious renovation works at the time Which didn t really affect us other than when they decided to start taking the ceiling of the arena down while they were serving nature , Lovely location with lots of history Great food in the arena and a very comfy place,,,7.1,"[' Leisure trip ', ' Couple ']",75,8
